"Date","Agegroup","At least one dose_cumulative","Second_dose_cumulative","fully_vaccinated_cumulative","third_dose_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated","Percent_3doses"
2020-12-24,"Ontario_12plus",9248,0,,,13034844,.0007,.0000,
2020-12-24,"Undisclosed_or_missing",3,0,,,0,,,
2020-12-25,"12-17yrs",13,0,,,951519,.0000,.0000,
2020-12-25,"18-29yrs",1357,0,,,2455535,.0010,.0000,
2020-12-25,"30-39yrs",1888,0,,,2056059,.0010,.0000,
2020-12-25,"40-49yrs",2468,0,,,1876583,.0010,.0000,
2020-12-25,"50-59yrs",2980,0,,,2060934,.0010,.0000,
2020-12-25,"60-69yrs",1738,0,,,1795046,.0010,.0000,
2020-12-25,"70-79yrs",309,0,,,1159902,.0000,.0000,
2020-12-25,"80+",315,0,,,679266,.0000,.0000,
2020-12-25,"Adults_18plus",11055,0,,,12083325,.0010,.0000,
2020-12-25,"Ontario_12plus",11068,0,,,13034844,.0008,.0000,
2020-12-25,"Undisclosed_or_missing",3,0,,,0,,,
2020-12-26,"12-17yrs",13,0,,,951519,.0000,.0000,
2020-12-26,"18-29yrs",1357,0,,,2455535,.0010,.0000,
2020-12-26,"30-39yrs",1888,0,,,2056059,.0010,.0000,
2020-12-26,"40-49yrs",2468,0,,,1876583,.0010,.0000,
2020-12-26,"50-59yrs",2980,0,,,2060934,.0010,.0000,
2020-12-26,"60-69yrs",1738,0,,,1795046,.0010,.0000,
2020-12-26,"70-79yrs",309,0,,,1159902,.0000,.0000,
2020-12-26,"80+",315,0,,,679266,.0000,.0000,
2020-12-26,"Adults_18plus",11055,0,,,12083325,.0010,.0000,
2020-12-26,"Ontario_12plus",11068,0,,,13034844,.0008,.0000,
2020-12-26,"Undisclosed_or_missing",3,0,,,0,,,
2020-12-27,"12-17yrs",13,0,,,951519,.0000,.0000,
2020-12-27,"18-29yrs",1357,0,,,2455535,.0010,.0000,
2020-12-27,"30-39yrs",1888,0,,,2056059,.0010,.0000,
2020-12-27,"40-49yrs",2468,0,,,1876583,.0010,.0000,
2020-12-27,"50-59yrs",2980,0,,,2060934,.0010,.0000,
2020-12-27,"60-69yrs",1738,0,,,1795046,.0010,.0000,
2020-12-27,"70-79yrs",309,0,,,1159902,.0000,.0000,
2020-12-27,"80+",315,0,,,679266,.0000,.0000,
2020-12-27,"Adults_18plus",11055,0,,,12083325,.0010,.0000,
2020-12-27,"Ontario_12plus",11068,0,,,13034844,.0008,.0000,
2020-12-27,"Undisclosed_or_missing",3,0,,,0,,,
2020-12-28,"12-17yrs",13,0,,,951519,.0000,.0000,
2020-12-28,"18-29yrs",1366,0,,,2455535,.0010,.0000,
2020-12-28,"30-39yrs",1902,0,,,2056059,.0010,.0000,
2020-12-28,"40-49yrs",2498,0,,,1876583,.0010,.0000,
2020-12-28,"50-59yrs",3022,0,,,2060934,.0010,.0000,
2020-12-28,"60-69yrs",1768,0,,,1795046,.0010,.0000,
2020-12-28,"70-79yrs",321,0,,,1159902,.0000,.0000,
2020-12-28,"80+",319,0,,,679266,.0000,.0000,
2020-12-28,"Adults_18plus",11196,0,,,12083325,.0010,.0000,
2020-12-28,"Ontario_12plus",11209,0,,,13034844,.0009,.0000,
2020-12-28,"Undisclosed_or_missing",3,0,,,0,,,
2020-12-29,"12-17yrs",15,0,,,951519,.0000,.0000,
2020-12-29,"18-29yrs",1566,0,,,2455535,.0010,.0000,
2020-12-29,"30-39yrs",2241,0,,,2056059,.0010,.0000,
2020-12-29,"40-49yrs",2996,0,,,1876583,.0020,.0000,
2020-12-29,"50-59yrs",3650,0,,,2060934,.0020,.0000,
2020-12-29,"60-69yrs",2195,0,,,1795046,.0010,.0000,
2020-12-29,"70-79yrs",380,0,,,1159902,.0000,.0000,
2020-12-29,"80+",328,0,,,679266,.0000,.0000,
2020-12-29,"Adults_18plus",13356,0,,,12083325,.0010,.0000,
2020-12-29,"Ontario_12plus",13371,0,,,13034844,.0010,.0000,
2020-12-29,"Undisclosed_or_missing",4,0,,,0,,,
2020-12-30,"12-17yrs",22,0,,,951519,.0000,.0000,
2020-12-30,"18-29yrs",2100,0,,,2455535,.0010,.0000,
2020-12-30,"30-39yrs",3038,0,,,2056059,.0010,.0000,
2020-12-30,"40-49yrs",3988,0,,,1876583,.0020,.0000,
2020-12-30,"50-59yrs",4799,0,,,2060934,.0020,.0000,
2020-12-30,"60-69yrs",3021,0,,,1795046,.0020,.0000,
2020-12-30,"70-79yrs",571,0,,,1159902,.0000,.0000,
2020-12-30,"80+",402,0,,,679266,.0010,.0000,
2020-12-30,"Adults_18plus",17919,0,,,12083325,.0010,.0000,
2020-12-30,"Ontario_12plus",17941,0,,,13034844,.0014,.0000,
2020-12-30,"Undisclosed_or_missing",5,0,,,0,,,
2020-12-31,"12-17yrs",29,0,,,951519,.0000,.0000,
2020-12-31,"18-29yrs",2863,0,,,2455535,.0010,.0000,
2020-12-31,"30-39yrs",4042,0,,,2056059,.0020,.0000,
2020-12-31,"40-49yrs",5154,0,,,1876583,.0030,.0000,
2020-12-31,"50-59yrs",6166,0,,,2060934,.0030,.0000,
2020-12-31,"60-69yrs",3923,0,,,1795046,.0020,.0000,
2020-12-31,"70-79yrs",740,0,,,1159902,.0010,.0000,
2020-12-31,"80+",468,0,,,679266,.0010,.0000,
2020-12-31,"Adults_18plus",23356,0,,,12083325,.0020,.0000,
2020-12-31,"Ontario_12plus",23385,0,,,13034844,.0018,.0000,
2020-12-31,"Undisclosed_or_missing",6,0,,,0,,,
2021-01-01,"12-17yrs",41,0,,,951519,.0000,.0000,
2021-01-01,"18-29yrs",3662,0,,,2455535,.0010,.0000,
2021-01-01,"30-39yrs",5090,0,,,2056059,.0020,.0000,
2021-01-01,"40-49yrs",6318,0,,,1876583,.0030,.0000,
2021-01-01,"50-59yrs",7502,0,,,2060934,.0040,.0000,
2021-01-01,"60-69yrs",4841,0,,,1795046,.0030,.0000,
2021-01-01,"70-79yrs",1006,0,,,1159902,.0010,.0000,
2021-01-01,"80+",997,0,,,679266,.0010,.0000,
2021-01-01,"Adults_18plus",29416,0,,,12083325,.0020,.0000,
2021-01-01,"Ontario_12plus",29457,0,,,13034844,.0023,.0000,
2021-01-01,"Undisclosed_or_missing",8,0,,,0,,,
2021-01-02,"12-17yrs",47,0,,,951519,.0000,.0000,
2021-01-02,"18-29yrs",4331,0,,,2455535,.0020,.0000,
2021-01-02,"30-39yrs",6106,0,,,2056059,.0030,.0000,
2021-01-02,"40-49yrs",7253,0,,,1876583,.0040,.0000,
2021-01-02,"50-59yrs",8457,0,,,2060934,.0040,.0000,
2021-01-02,"60-69yrs",5437,0,,,1795046,.0030,.0000,
2021-01-02,"70-79yrs",1177,0,,,1159902,.0010,.0000,
2021-01-02,"80+",1186,0,,,679266,.0020,.0000,
2021-01-02,"Adults_18plus",33947,0,,,12083325,.0030,.0000,
2021-01-02,"Ontario_12plus",33994,0,,,13034844,.0026,.0000,
2021-01-02,"Undisclosed_or_missing",8,0,,,0,,,
2021-01-03,"12-17yrs",53,0,,,951519,.0000,.0000,
2021-01-03,"18-29yrs",5051,0,,,2455535,.0020,.0000,
2021-01-03,"30-39yrs",7026,0,,,2056059,.0030,.0000,
2021-01-03,"40-49yrs",8193,0,,,1876583,.0040,.0000,
2021-01-03,"50-59yrs",9526,0,,,2060934,.0050,.0000,
2021-01-03,"60-69yrs",6064,0,,,1795046,.0030,.0000,
2021-01-03,"70-79yrs",1434,0,,,1159902,.0010,.0000,
2021-01-03,"80+",1879,0,,,679266,.0030,.0000,
2021-01-03,"Adults_18plus",39173,0,,,12083325,.0030,.0000,
2021-01-03,"Ontario_12plus",39226,0,,,13034844,.0030,.0000,
2021-01-03,"Undisclosed_or_missing",9,0,,,0,,,
2021-01-04,"12-17yrs",62,0,,,951519,.0000,.0000,
2021-01-04,"18-29yrs",5998,0,,,2455535,.0020,.0000,
2021-01-04,"30-39yrs",8153,0,,,2056059,.0040,.0000,
2021-01-04,"40-49yrs",9337,0,,,1876583,.0050,.0000,
2021-01-04,"50-59yrs",10730,0,,,2060934,.0050,.0000,
2021-01-04,"60-69yrs",6812,0,,,1795046,.0040,.0000,
2021-01-04,"70-79yrs",1686,0,,,1159902,.0010,.0000,
2021-01-04,"80+",2295,0,,,679266,.0030,.0000,
2021-01-04,"Adults_18plus",45011,0,,,12083325,.0040,.0000,
2021-01-04,"Ontario_12plus",45073,0,,,13034844,.0035,.0000,
2021-01-04,"Undisclosed_or_missing",10,0,,,0,,,
2021-01-05,"12-17yrs",78,0,,,951519,.0000,.0000,
2021-01-05,"18-29yrs",7258,0,,,2455535,.0030,.0000,
2021-01-05,"30-39yrs",9948,0,,,2056059,.0050,.0000,
2021-01-05,"40-49yrs",11251,0,,,1876583,.0060,.0000,
2021-01-05,"50-59yrs",12841,0,,,2060934,.0060,.0000,
2021-01-05,"60-69yrs",8073,0,,,1795046,.0040,.0000,
2021-01-05,"70-79yrs",2039,0,,,1159902,.0020,.0000,
2021-01-05,"80+",2943,0,,,679266,.0040,.0000,
2021-01-05,"Adults_18plus",54353,0,,,12083325,.0040,.0000,
2021-01-05,"Ontario_12plus",54431,0,,,13034844,.0042,.0000,
2021-01-05,"Undisclosed_or_missing",10,0,,,0,,,
2021-01-06,"12-17yrs",87,0,,,951519,.0000,.0000,
2021-01-06,"18-29yrs",8717,45,,,2455535,.0040,.0000,
2021-01-06,"30-39yrs",12042,66,,,2056059,.0060,.0000,
2021-01-06,"40-49yrs",13575,97,,,1876583,.0070,.0000,
2021-01-06,"50-59yrs",15289,139,,,2060934,.0070,.0000,
2021-01-06,"60-69yrs",9567,65,,,1795046,.0050,.0000,
2021-01-06,"70-79yrs",2661,15,,,1159902,.0020,.0000,
2021-01-06,"80+",4345,1,,,679266,.0060,.0000,
2021-01-06,"Adults_18plus",66196,428,,,12083325,.0050,.0000,
2021-01-06,"Ontario_12plus",66283,428,,,13034844,.0051,.0000,
2021-01-06,"Undisclosed_or_missing",18,0,,,0,,,
2021-01-07,"12-17yrs",94,0,,,951519,.0000,.0000,
2021-01-07,"18-29yrs",10514,121,,,2455535,.0040,.0000,
2021-01-07,"30-39yrs",14494,179,,,2056059,.0070,.0000,
2021-01-07,"40-49yrs",15965,267,,,1876583,.0090,.0000,
2021-01-07,"50-59yrs",18064,328,,,2060934,.0090,.0000,
2021-01-07,"60-69yrs",11338,163,,,1795046,.0060,.0000,
2021-01-07,"70-79yrs",3526,26,,,1159902,.0030,.0000,
2021-01-07,"80+",7297,1,,,679266,.0110,.0000,
2021-01-07,"Adults_18plus",81198,1085,,,12083325,.0070,.0000,
2021-01-07,"Ontario_12plus",81292,1085,,,13034844,.0062,.0001,
2021-01-07,"Undisclosed_or_missing",35,0,,,0,,,
2021-01-08,"12-17yrs",113,0,,,951519,.0000,.0000,
2021-01-08,"18-29yrs",12662,231,,,2455535,.0050,.0000,
2021-01-08,"30-39yrs",17351,348,,,2056059,.0080,.0000,
2021-01-08,"40-49yrs",18852,490,,,1876583,.0100,.0000,
2021-01-08,"50-59yrs",21312,593,,,2060934,.0100,.0000,
2021-01-08,"60-69yrs",13428,303,,,1795046,.0070,.0000,
2021-01-08,"70-79yrs",4421,49,,,1159902,.0040,.0000,
2021-01-08,"80+",9546,2,,,679266,.0140,.0000,
2021-01-08,"Adults_18plus",97572,2016,,,12083325,.0080,.0000,
2021-01-08,"Ontario_12plus",97685,2016,,,13034844,.0075,.0002,
2021-01-08,"Undisclosed_or_missing",38,0,,,0,,,
2021-01-09,"12-17yrs",121,0,,,951519,.0000,.0000,
2021-01-09,"18-29yrs",14723,321,,,2455535,.0060,.0000,
2021-01-09,"30-39yrs",20182,485,,,2056059,.0100,.0000,
2021-01-09,"40-49yrs",21853,722,,,1876583,.0120,.0000,
2021-01-09,"50-59yrs",24846,873,,,2060934,.0120,.0000,
2021-01-09,"60-69yrs",15768,465,,,1795046,.0090,.0000,
2021-01-09,"70-79yrs",5364,69,,,1159902,.0050,.0000,
2021-01-09,"80+",12762,3,,,679266,.0190,.0000,
2021-01-09,"Adults_18plus",115498,2938,,,12083325,.0100,.0000,
2021-01-09,"Ontario_12plus",115619,2938,,,13034844,.0089,.0002,
2021-01-09,"Undisclosed_or_missing",61,0,,,0,,,
2021-01-10,"12-17yrs",130,0,,,951519,.0000,.0000,
2021-01-10,"18-29yrs",16119,321,,,2455535,.0070,.0000,
2021-01-10,"30-39yrs",22164,486,,,2056059,.0110,.0000,
2021-01-10,"40-49yrs",23772,723,,,1876583,.0130,.0000,
2021-01-10,"50-59yrs",26968,873,,,2060934,.0130,.0000,
2021-01-10,"60-69yrs",17354,465,,,1795046,.0100,.0000,
2021-01-10,"70-79yrs",6026,69,,,1159902,.0050,.0000,
2021-01-10,"80+",14144,3,,,679266,.0210,.0000,
2021-01-10,"Adults_18plus",126547,2940,,,12083325,.0100,.0000,
2021-01-10,"Ontario_12plus",126677,2940,,,13034844,.0097,.0002,
2021-01-10,"Undisclosed_or_missing",69,0,,,0,,,
2021-01-11,"12-17yrs",139,0,,,951519,.0000,.0000,
2021-01-11,"18-29yrs",17535,321,,,2455535,.0070,.0000,
2021-01-11,"30-39yrs",24067,486,,,2056059,.0120,.0000,
2021-01-11,"40-49yrs",25736,723,,,1876583,.0140,.0000,
2021-01-11,"50-59yrs",29016,874,,,2060934,.0140,.0000,
2021-01-11,"60-69yrs",18846,465,,,1795046,.0100,.0000,
2021-01-11,"70-79yrs",6775,69,,,1159902,.0060,.0000,
2021-01-11,"80+",15976,3,,,679266,.0240,.0000,
2021-01-11,"Adults_18plus",137951,2941,,,12083325,.0110,.0000,
2021-01-11,"Ontario_12plus",138090,2941,,,13034844,.0106,.0002,
2021-01-11,"Undisclosed_or_missing",75,0,,,0,,,
2021-01-12,"12-17yrs",143,0,,,951519,.0000,.0000,
2021-01-12,"18-29yrs",19015,335,,,2455535,.0080,.0000,
2021-01-12,"30-39yrs",26124,497,,,2056059,.0130,.0000,
2021-01-12,"40-49yrs",27699,742,,,1876583,.0150,.0000,
2021-01-12,"50-59yrs",31356,894,,,2060934,.0150,.0000,
2021-01-12,"60-69yrs",20502,484,,,1795046,.0110,.0000,
2021-01-12,"70-79yrs",7695,71,,,1159902,.0070,.0000,
2021-01-12,"80+",19082,3,,,679266,.0280,.0000,
2021-01-12,"Adults_18plus",151473,3026,,,12083325,.0130,.0000,
2021-01-12,"Ontario_12plus",151616,3026,,,13034844,.0116,.0002,
2021-01-12,"Undisclosed_or_missing",89,0,,,0,,,
2021-01-13,"12-17yrs",150,0,,,951519,.0000,.0000,
2021-01-13,"18-29yrs",20280,498,,,2455535,.0080,.0000,
2021-01-13,"30-39yrs",27837,757,,,2056059,.0140,.0000,
2021-01-13,"40-49yrs",29294,1060,,,1876583,.0160,.0010,
2021-01-13,"50-59yrs",33290,1236,,,2060934,.0160,.0010,
2021-01-13,"60-69yrs",22014,651,,,1795046,.0120,.0000,
2021-01-13,"70-79yrs",8660,94,,,1159902,.0070,.0000,
2021-01-13,"80+",23165,98,,,679266,.0340,.0000,
2021-01-13,"Adults_18plus",164540,4394,,,12083325,.0140,.0000,
2021-01-13,"Ontario_12plus",164690,4394,,,13034844,.0126,.0003,
2021-01-13,"Undisclosed_or_missing",94,1,,,0,,,
2021-01-14,"12-17yrs",160,0,,,951519,.0000,.0000,
2021-01-14,"18-29yrs",21741,777,,,2455535,.0090,.0000,
2021-01-14,"30-39yrs",29756,1178,,,2056059,.0140,.0010,
2021-01-14,"40-49yrs",31221,1549,,,1876583,.0170,.0010,
2021-01-14,"50-59yrs",35626,1796,,,2060934,.0170,.0010,
2021-01-14,"60-69yrs",23903,1006,,,1795046,.0130,.0010,
2021-01-14,"70-79yrs",9930,134,,,1159902,.0090,.0000,
2021-01-14,"80+",28231,204,,,679266,.0420,.0000,
2021-01-14,"Adults_18plus",180408,6644,,,12083325,.0150,.0010,
2021-01-14,"Ontario_12plus",180568,6644,,,13034844,.0139,.0005,
2021-01-14,"Undisclosed_or_missing",101,3,,,0,,,
2021-01-15,"12-17yrs",170,1,,,951519,.0000,.0000,
2021-01-15,"18-29yrs",23404,1009,,,2455535,.0100,.0000,
2021-01-15,"30-39yrs",31916,1517,,,2056059,.0160,.0010,
2021-01-15,"40-49yrs",33446,1993,,,1876583,.0180,.0010,
2021-01-15,"50-59yrs",38367,2277,,,2060934,.0190,.0010,
2021-01-15,"60-69yrs",26153,1286,,,1795046,.0150,.0010,
2021-01-15,"70-79yrs",11299,177,,,1159902,.0100,.0000,
2021-01-15,"80+",32995,285,,,679266,.0490,.0000,
2021-01-15,"Adults_18plus",197580,8544,,,12083325,.0160,.0010,
2021-01-15,"Ontario_12plus",197750,8545,,,13034844,.0152,.0007,
2021-01-15,"Undisclosed_or_missing",114,3,,,0,,,
2021-01-16,"12-17yrs",192,7,,,951519,.0000,.0000,
2021-01-16,"18-29yrs",24939,1176,,,2455535,.0100,.0000,
2021-01-16,"30-39yrs",33724,1682,,,2056059,.0160,.0010,
2021-01-16,"40-49yrs",35406,2200,,,1876583,.0190,.0010,
2021-01-16,"50-59yrs",40710,2619,,,2060934,.0200,.0010,
2021-01-16,"60-69yrs",28068,1476,,,1795046,.0160,.0010,
2021-01-16,"70-79yrs",12505,213,,,1159902,.0110,.0000,
2021-01-16,"80+",37419,291,,,679266,.0550,.0000,
2021-01-16,"Adults_18plus",212771,9657,,,12083325,.0180,.0010,
2021-01-16,"Ontario_12plus",212963,9664,,,13034844,.0163,.0007,
2021-01-16,"Undisclosed_or_missing",133,3,,,0,,,
2021-01-17,"12-17yrs",205,13,,,951519,.0000,.0000,
2021-01-17,"18-29yrs",25770,1324,,,2455535,.0100,.0010,
2021-01-17,"30-39yrs",34680,1850,,,2056059,.0170,.0010,
2021-01-17,"40-49yrs",36498,2409,,,1876583,.0190,.0010,
2021-01-17,"50-59yrs",42140,2925,,,2060934,.0200,.0010,
2021-01-17,"60-69yrs",29329,1719,,,1795046,.0160,.0010,
2021-01-17,"70-79yrs",13326,301,,,1159902,.0110,.0000,
2021-01-17,"80+",40644,310,,,679266,.0600,.0000,
2021-01-17,"Adults_18plus",222387,10838,,,12083325,.0180,.0010,
2021-01-17,"Ontario_12plus",222592,10851,,,13034844,.0171,.0008,
2021-01-17,"Undisclosed_or_missing",141,3,,,0,,,
2021-01-18,"12-17yrs",212,13,,,951519,.0000,.0000,
2021-01-18,"18-29yrs",26429,1326,,,2455535,.0110,.0010,
2021-01-18,"30-39yrs",35420,1852,,,2056059,.0170,.0010,
2021-01-18,"40-49yrs",37279,2410,,,1876583,.0200,.0010,
2021-01-18,"50-59yrs",43229,2933,,,2060934,.0210,.0010,
2021-01-18,"60-69yrs",30176,1721,,,1795046,.0170,.0010,
2021-01-18,"70-79yrs",13858,301,,,1159902,.0120,.0000,
2021-01-18,"80+",42521,310,,,679266,.0630,.0000,
2021-01-18,"Adults_18plus",228912,10853,,,12083325,.0190,.0010,
2021-01-18,"Ontario_12plus",229124,10866,,,13034844,.0176,.0008,
2021-01-18,"Undisclosed_or_missing",147,3,,,0,,,
2021-01-19,"12-17yrs",217,15,,,951519,.0000,.0000,
2021-01-19,"18-29yrs",26957,1503,,,2455535,.0110,.0010,
2021-01-19,"30-39yrs",36188,2142,,,2056059,.0180,.0010,
2021-01-19,"40-49yrs",38187,2864,,,1876583,.0200,.0020,
2021-01-19,"50-59yrs",44383,3486,,,2060934,.0220,.0020,
2021-01-19,"60-69yrs",31329,2108,,,1795046,.0170,.0010,
2021-01-19,"70-79yrs",14851,353,,,1159902,.0130,.0000,
2021-01-19,"80+",46357,320,,,679266,.0680,.0000,
2021-01-19,"Adults_18plus",238252,12776,,,12083325,.0200,.0010,
2021-01-19,"Ontario_12plus",238469,12791,,,13034844,.0183,.0010,
2021-01-19,"Undisclosed_or_missing",151,3,,,0,,,
2021-01-20,"12-17yrs",226,16,,,951519,.0000,.0000,
2021-01-20,"18-29yrs",27372,1881,,,2455535,.0110,.0010,
2021-01-20,"30-39yrs",36691,2783,,,2056059,.0180,.0010,
2021-01-20,"40-49yrs",38759,3623,,,1876583,.0210,.0020,
2021-01-20,"50-59yrs",45183,4364,,,2060934,.0220,.0020,
2021-01-20,"60-69yrs",32135,2692,,,1795046,.0180,.0010,
2021-01-20,"70-79yrs",15592,458,,,1159902,.0130,.0000,
2021-01-20,"80+",49285,350,,,679266,.0730,.0010,
2021-01-20,"Adults_18plus",245017,16151,,,12083325,.0200,.0010,
2021-01-20,"Ontario_12plus",245243,16167,,,13034844,.0188,.0012,
2021-01-20,"Undisclosed_or_missing",153,4,,,0,,,
2021-01-21,"12-17yrs",226,19,,,951519,.0000,.0000,
2021-01-21,"18-29yrs",27633,2408,,,2455535,.0110,.0010,
2021-01-21,"30-39yrs",37033,3521,,,2056059,.0180,.0020,
2021-01-21,"40-49yrs",39183,4518,,,1876583,.0210,.0020,
2021-01-21,"50-59yrs",45802,5375,,,2060934,.0220,.0030,
2021-01-21,"60-69yrs",32838,3305,,,1795046,.0180,.0020,
